Home,Away,HomeScore,AwayScore,Round,Date
Barcelona,Paris,87,103,10,15.11. 21:30
Partizan,Olimpia Milano,81,88,10,15.11. 21:30
Virtus Bologna,Panathinaikos,77,82,10,15.11. 21:30
Zalgiris Kaunas,Fenerbahce,65,72,10,15.11. 20:00
Real Madrid,Anadolu Efes,64,74,10,14.11. 21:45
Baskonia,Monaco,75,87,10,14.11. 21:30
Bayern,Alba Berlin,115,88,10,14.11. 21:30
Lyon-Villeurbanne,Crvena zvezda,77,74,10,14.11. 21:00
Maccabi Tel Aviv,Olympiacos,91,94,10,14.11. 20:00
Paris,Zalgiris Kaunas,83,77,9,13.11. 21:30
Partizan,Barcelona,79,87,9,13.11. 19:00
Real Madrid,Virtus Bologna,98,86,9,12.11. 21:45
Baskonia,Anadolu Efes,84,89,9,12.11. 21:30
Panathinaikos,Maccabi Tel Aviv,93,87,9,12.11. 21:15
Alba Berlin,Olimpia Milano,105,101,9,12.11. 21:00 AOT
Olympiacos,Lyon-Villeurbanne,94,92,9,12.11. 21:00
Monaco,Crvena zvezda,90,98,9,12.11. 20:00
Fenerbahce,Bayern,87,76,9,12.11. 19:45
Barcelona,Baskonia,91,68,8,08.11. 21:30
Virtus Bologna,Maccabi Tel Aviv,84,77,8,08.11. 21:30
Panathinaikos,Olympiacos,89,94,8,08.11. 21:15
Lyon-Villeurbanne,Fenerbahce,73,77,8,08.11. 21:00
Anadolu Efes,Monaco,69,81,8,08.11. 19:00
Bayern,Zalgiris Kaunas,77,74,8,07.11. 21:45
Paris,Partizan,74,71,8,07.11. 21:45
Olimpia Milano,Real Madrid,85,76,8,07.11. 21:30
Crvena zvezda,Alba Berlin,92,71,8,07.11. 20:00
Paris,Baskonia,67,65,7,01.11. 21:45
Crvena zvezda,Panathinaikos,77,81,7,01.11. 21:00
Lyon-Villeurbanne,Bayern,71,84,7,01.11. 21:00
Zalgiris Kaunas,Monaco,63,62,7,01.11. 20:00
Fenerbahce,Partizan,89,72,7,01.11. 19:45
Olimpia Milano,Virtus Bologna,99,90,7,31.10. 21:30
Olympiacos,Barcelona,95,74,7,31.10. 21:15
Maccabi Tel Aviv,Real Madrid,79,78,7,31.10. 21:05
Alba Berlin,Anadolu Efes,70,86,7,31.10. 21:00
Partizan,Monaco,74,79,6,30.10. 21:45
Panathinaikos,Lyon-Villeurbanne,92,68,6,30.10. 21:15
Zalgiris Kaunas,Crvena zvezda,86,84,6,30.10. 20:00
Virtus Bologna,Bayern,84,87,6,29.10. 22:00
Baskonia,Olimpia Milano,88,83,6,29.10. 21:30
Olympiacos,Real Madrid,79,69,6,29.10. 21:15
Alba Berlin,Paris,83,92,6,29.10. 20:30
Fenerbahce,Maccabi Tel Aviv,84,82,6,29.10. 20:30
Anadolu Efes,Barcelona,88,97,6,29.10. 19:30
Bayern,Olympiacos,84,80,5,25.10. 21:45
Barcelona,Lyon-Villeurbanne,90,83,5,25.10. 21:30
Fenerbahce,Panathinaikos,76,81,5,25.10. 20:45
Real Madrid,Crvena zvezda,95,72,5,24.10. 21:45
Baskonia,Alba Berlin,80,57,5,24.10. 21:30
Olimpia Milano,Anadolu Efes,84,96,5,24.10. 21:30
Monaco,Paris,80,87,5,24.10. 20:00
Zalgiris Kaunas,Maccabi Tel Aviv,78,63,5,24.10. 20:00
Partizan,Virtus Bologna,69,70,5,23.10. 21:30
Lyon-Villeurbanne,Baskonia,76,69,4,18.10. 21:30
Crvena zvezda,Barcelona,94,98,4,18.10. 21:00 AOT
Anadolu Efes,Olympiacos,91,89,4,18.10. 20:30
Monaco,Virtus Bologna,101,85,4,18.10. 20:00
Bayern,Paris,109,107,4,17.10. 21:45
Real Madrid,Panathinaikos,90,86,4,17.10. 21:45
Olimpia Milano,Zalgiris Kaunas,82,85,4,17.10. 21:30
Maccabi Tel Aviv,Partizan,79,91,4,17.10. 21:05
Alba Berlin,Fenerbahce,71,78,4,17.10. 20:30
Barcelona,Monaco,86,71,3,16.10. 21:30
Partizan,Bayern,86,78,3,15.10. 21:45
Baskonia,Real Madrid,76,72,3,15.10. 21:30
Paris,Panathinaikos,84,80,3,15.10. 21:30
Virtus Bologna,Zalgiris Kaunas,68,71,3,15.10. 21:30
Olympiacos,Olimpia Milano,89,68,3,15.10. 21:15
Maccabi Tel Aviv,Anadolu Efes,93,91,3,15.10. 21:05
Fenerbahce,Crvena zvezda,57,76,3,15.10. 20:45
Alba Berlin,Lyon-Villeurbanne,84,79,3,15.10. 20:30
Barcelona,Alba Berlin,88,73,2,11.10. 21:30
Olimpia Milano,Paris,79,74,2,11.10. 21:30
Olympiacos,Zalgiris Kaunas,74,68,2,11.10. 21:15
Real Madrid,Partizan,93,86,2,10.10. 21:45
Panathinaikos,Bayern,94,79,2,10.10. 21:15
Lyon-Villeurbanne,Virtus Bologna,87,85,2,10.10. 21:00
Anadolu Efes,Fenerbahce,78,83,2,10.10. 20:30
Crvena zvezda,Baskonia,78,71,2,09.10. 21:00
Monaco,Maccabi Tel Aviv,85,79,2,09.10. 20:00
Paris,Crvena zvezda,77,80,1,04.10. 22:00
Virtus Bologna,Anadolu Efes,67,76,1,04.10. 22:00
Fenerbahce,Olympiacos,82,71,1,04.10. 20:30
Maccabi Tel Aviv,Lyon-Villeurbanne,89,82,1,03.10. 22:00
Bayern,Real Madrid,97,89,1,03.10. 21:45
Baskonia,Partizan,88,82,1,03.10. 21:30
Monaco,Olimpia Milano,93,80,1,03.10. 20:00
Zalgiris Kaunas,Barcelona,74,67,1,03.10. 20:00
Alba Berlin,Panathinaikos,77,87,1,03.10. 19:45
